id,title,year,cited_by_count,cdIndex,ns,np,concepts_names
"https://openalex.org/W2254784354","The Social Work Establishment and Social Change in Israel",1970,3,0,0,0,"Social work, Social Welfare, Welfare, Work (physics), Social change, Social policy, Power (physics), Public relations, Political science, Public economics, Sociology, Public administration, Economic growth, Economics, Law, Mechanical engineering, Engineering, Physics, Quantum mechanics"
"https://openalex.org/W2780074787","Protection of Women from Domestic Violence Under “The Bill for the Protection of Women and Family Members Against Domestic Violence”",1970,1,0,0,0,"Domestic violence, Convention on the Elimination of All Forms of Discrimination Against Women, Government (linguistics), Order (exchange), Political science, Convention, Power (physics), Law, Business, Poison control, Human rights, Human factors and ergonomics, Environmental health, Medicine, International human rights law, Linguistics, Philosophy, Physics, Finance, Quantum mechanics"
"https://openalex.org/W2043698747","Temperature Control Of Engorgement By Subadult Hyalomma Aegyptium Ticks1",1970,12,0,0,0,"Biology, Veterinary medicine, Tropical medicine, Public health, Hyalomma, Entomology, Zoology, Tick, Ixodidae, Ecology, Medicine, Pathology"
"https://openalex.org/W2765310904","Abortion In Lebanon: Practice and Legality?",1970,3,0,0,0,"Abortion, Principle of legality, Legislation, Abortion law, Political science, Law, Politics, Public health, Family planning, Sociology, Medicine, Pregnancy, Population, Research methodology, Environmental health, Genetics, Biology, Nursing"
"https://openalex.org/W2979394402","Family Associations in Lebanon",1971,13,0,0,0,"Kinship, Solidarity, Social organization, Argument (complex analysis), Sociology, Social psychology, Politics, Social control, Mediation, Social Welfare, Political science, Psychology, Law, Social science, Biochemistry, Chemistry"
"https://openalex.org/W2105446171","Integrating the New Immigrant: A Model for Social Work Practice in Transitional States",1971,5,0,0,0,"Social work, Immigration, Sociology, Christian ministry, Hebrew, Agency (philosophy), Judaism, Social Welfare, Welfare, Work (physics), Library science, Social science, Political science, Law, Theology, Classics, History, Engineering, Mechanical engineering, Philosophy, Computer science"
"https://openalex.org/W2161904212","Spain and the Axis During World War II",1971,5,0,0,0,"German, Spanish Civil War, Neutrality, Economic history, Political science, Politics, Nationalism, World War II, Declaration, Czech, Law, History, Philosophy, Linguistics, Archaeology"
"https://openalex.org/W4254440957","British standards for NDT",1971,33,0,0,0,"Occupational safety and health, Audit, Occupational health nursing, Business, Management system, Work (physics), Effective safety training, Sustainability, Risk analysis (engineering), Environmental health, Operations management, Public health, Engineering, Medicine, Health policy, Nursing, Accounting, Mechanical engineering, Ecology, Pathology, Biology"
"https://openalex.org/W2008485292","ISOLATION OF TURKEY HERPESVIRUS IN CELL CULTURE",1971,5,0,0,0,"Veterinary medicine, Preventive healthcare, Medicine, Public health, Nursing"
"https://openalex.org/W2325496040","Effect of Ronnel on the Respiration Rate of Ornithodoros Savignyi Ticks at Different Temperatures after Topical Application or Oral Ingestion1",1971,2,0,0,0,"Biology, Public health, Tick, Entomology, Library science, Ecology, Medicine, Nursing, Computer science"
"https://openalex.org/W2010403937","Serum Protein in Lebanese Infants",1971,2,0,0,0,"Medicine, Pediatrics, Public health, Family medicine, Library science, Pathology, Computer science"
